Dates,SP1 Index,GX1 Index,Z1 Index,NK1 Index,SP1 Index_position,GX1 Index_position,Z1 Index_position,NK1 Index_position,Risk_Index,SP1 Index_returns,GX1 Index_returns,Z1 Index_returns,NK1 Index_returns,SP1 Index_strat,GX1 Index_strat,Z1 Index_strat,NK1 Index_strat,Total
1990-11-26,318.2,968.16354,4294.389,186.56311,0.0,0.0,0.0,0.0,1.9675876366846414,0.008557844690966654,-0.033332445706997116,-0.007681568118546034,0.002245344560414253,0.0,-0.0,-0.0,0.0,0.0
1990-11-27,319.65,962.5,4340.787,186.00483,0.0,0.0,0.0,0.0,1.8955197858991357,0.004556882463859102,-0.005849776164882248,0.01080433095371669,-0.0029924458270448318,0.0,-0.0,0.0,-0.0,0.0
1990-11-28,319.25,954.53014,4273.6135,178.82172,0.0,0.0,0.0,0.0,2.282857193230744,-0.0012513686844985994,-0.008280374025974035,-0.015474958803553318,-0.038617868148907775,-0.0,-0.0,-0.0,-0.0,-0.0
1990-11-29,316.75,947.41765,4210.704,171.76293,0.0,0.0,0.0,0.0,2.294905433198061,-0.007830853563038365,-0.007451299547230672,-0.014720446760101424,-0.03947389612402785,-0.0,-0.0,-0.0,-0.0,-0.0
1990-11-30,324.05,960.0,4223.2255,170.32307,0.0,0.0,0.0,0.0,1.955933336475256,0.023046566692975556,0.013280679328699474,0.0029737307585619988,-0.008382833245799914,0.0,0.0,0.0,-0.0,0.0
1990-12-03,324.4,965.97291,4208.634,170.75893,0.0,0.0,0.0,0.0,1.9678937112101496,0.0010800802345316551,0.006221781250000058,-0.0034550605929045686,0.002559019162817977,0.0,0.0,-0.0,0.0,0.0
1990-12-04,328.2,965.97291,4191.1155,164.49086,0.0,0.0,0.0,0.0,2.149138908355628,0.011713933415536504,0.0,-0.00416251448807381,-0.03670712858179659,0.0,0.0,-0.0,-0.0,0.0
1990-12-05,331.8,978.36938,4205.5495,166.43128,0.0,0.0,0.0,0.0,1.8437189495894182,0.010968921389396868,0.012833144565099763,0.00344395185482238,0.01179652170339418,0.0,0.0,0.0,0.0,0.0
1990-12-06,330.5,1016.31201,4288.505,171.51492,0.0,0.0,0.0,0.0,1.6718591400740208,-0.003918022905364693,0.038781497842869994,0.019725246367924054,0.03054497928514399,-0.0,0.0,0.0,0.0,0.0
1990-12-07,328.25,1030.09807,4325.1888,180.08394,0.0,0.0,0.0,0.0,1.6063579262998762,-0.006807866868381196,0.013564790993663367,0.008553983264564247,0.049960784752720144,-0.0,0.0,0.0,0.0,0.0
